iter	Passed	Remaining
171	283	1362
172	284	1359
173	285	1356
174	287	1353
175	289	1354
176	290	1351
177	294	1360
178	296	1358
179	297	1354
180	298	1350
181	299	1346
182	300	1342
183	301	1337
184	302	1333
185	304	1330
186	305	1326
187	310	1340
188	311	1336
189	312	1331
190	313	1328
191	314	1324
192	316	1322
193	317	1318
194	318	1314
195	319	1310
196	320	1307
197	325	1318
198	327	1316
199	328	1313
200	329	1310
201	331	1309
202	332	1305
203	333	1301
204	334	1298
205	335	1294
206	336	1290
207	338	1290
208	340	1287
209	343	1290
210	344	1287
211	345	1285
212	347	1282
213	348	1281
214	352	1285
215	353	1282
216	355	1284
217	357	1281
218	358	1278
219	359	1275
220	361	1273
221	365	1279
222	366	1276
223	367	1273
224	368	1270
225	370	1268
226	371	1265
227	382	1295
228	385	1296
229	386	1294
230	387	1291
231	389	1288
232	390	1285
233	392	1283
234	397	1294
235	399	1291
236	400	1288
237	401	1285
238	402	1282
239	404	1281
240	406	1278
241	407	1276
242	408	1273
243	410	1272
244	415	1279
245	418	1281
246	419	1279
247	420	1276
248	422	1274
249	484	1453
250	485	1450
251	487	1447
252	490	1449
253	495	1455
254	496	1451
255	498	1449
256	500	1448
257	502	1445
258	504	1442
259	506	1442
260	512	1450
261	516	1453
262	517	1450
263	518	1446
264	572	1588
265	581	1605
266	583	1601
267	584	1597
268	586	1593
269	587	1588
270	588	1584
271	590	1579
272	591	1575
273	593	1572
274	596	1571
275	597	1567
276	598	1563
277	600	1558
278	601	1555
279	607	1563
280	609	1559
281	610	1555
282	612	1550
283	658	1661
284	660	1656
285	661	1651
286	662	1647
287	664	1642
288	665	1638
289	674	1651
290	675	1646
291	677	1641
292	678	1637
293	680	1634
294	682	1630
295	694	1651
296	695	1646
297	696	1641
298	698	1636
299	706	1648
300	708	1644
301	709	1639
302	711	1637
303	713	1632
304	754	1718
305	755	1713
306	756	1708
307	758	1703
308	759	1699
309	761	1694
310	762	1690
311	771	1701
312	773	1696
313	774	1692
314	776	1689
315	778	1684
316	783	1688
317	784	1683
318	786	1679
319	789	1678
320	791	1673
321	794	1672
322	800	1676
323	804	1677
324	849	1764
325	850	1759
326	852	1755
327	854	1750
328	855	1745
329	857	1740
330	865	1748
331	866	1744
332	868	1739
333	871	1737
334	872	1732
335	876	1732
336	877	1727
337	879	1722
338	883	1722
339	917	1781
340	919	1776
341	920	1771
342	928	1779
343	930	1774
344	931	1769
345	933	1764
346	934	1759
347	936	1754
348	943	1759
349	944	1753
350	945	1748
351	947	1744
352	949	1740
353	950	1735
354	952	1730
355	957	1732
356	961	1731
357	962	1726
358	963	1721
359	965	1715
360	966	1710
361	980	1728
362	982	1723
363	983	1718
364	991	1725
365	993	1720
366	994	1715
367	995	1710
368	997	1705
369	1000	1704
370	1002	1699
371	1003	1694
372	1006	1691
373	1008	1687
374	1009	1682
375	1011	1677
376	1012	1672
377	1015	1671
378	1018	1668
379	1035	1688
380	1036	1683
381	1037	1678
382	1039	1674
383	1040	1669
384	1042	1664
385	1043	1659
386	1052	1667
387	1054	1663
388	1055	1658
389	1057	1653
390	1058	1648
391	1059	1643
392	1066	1646
393	1068	1643
394	1070	1639
395	1071	1634
396	1072	1629
397	1074	1624
398	1082	1631
399	1084	1626
400	1085	1622
401	1088	1619
402	1090	1614
403	1096	1617
404	1103	1620
405	1105	1617
406	1117	1627
407	1118	1622
408	1119	1617
409	1120	1613
410	1127	1616
411	1128	1611
412	1130	1606
413	1131	1601
414	1133	1597
415	1134	1592
416	1136	1589
417	1145	1594
418	1146	1590
419	1148	1585
420	1149	1581
421	1151	1576
422	1152	1572
423	1164	1581
424	1166	1578
425	1168	1574
426	1173	1574
427	1176	1572
428	1178	1568
429	1179	1563
430	1180	1559
431	1182	1554
432	1184	1550
433	1189	1550
434	1190	1546
435	1191	1541
436	1193	1537
437	1194	1532
438	1196	1528
439	1197	1524
440	1198	1519
441	1206	1522
442	1207	1518
443	1208	1513
444	1210	1509
445	1211	1505
446	1212	1500
447	1220	1503
448	1221	1499
449	1223	1494
450	1224	1490
451	1225	1486
452	1227	1481
453	1228	1477
454	1230	1473
455	1258	1501
456	1260	1497
457	1271	1504
458	1275	1502
459	1278	1501
460	1280	1497
461	1284	1495
462	1287	1493
463	1289	1489
464	1300	1496
465	1302	1492
466	1305	1490
467	1315	1495
468	1318	1492
469	1320	1488
470	1322	1485
471	1327	1484
472	1329	1481
473	1331	1477
474	1333	1473
475	1337	1472
476	1339	1468
477	1348	1472
478	1358	1477
479	1360	1474
480	1362	1470
481	1364	1466
482	1377	1474
483	1379	1471
484	1385	1471
485	1390	1470
486	1392	1466
487	1394	1462
488	1396	1458
489	1405	1462
490	1407	1458
491	1409	1455
492	1410	1451
493	1416	1451
494	1421	1449
495	1423	1446
496	1425	1442
497	1428	1439
498	1438	1444
499	1440	1440
500	1443	1437
501	1445	1434
502	1451	1433
503	1453	1430
504	1457	1428
505	1485	1450
506	1487	1446
507	1489	1442
508	1491	1438
509	1493	1435
510	1499	1434
511	1501	1431
512	1503	1427
513	1520	1437
514	1545	1455
515	1552	1456
516	1618	1512
517	1629	1515
518	1631	1512
519	1635	1509
520	1644	1511
521	1646	1507
522	1648	1503
523	1650	1499
524	1662	1503
525	1664	1499
526	1666	1495
527	1671	1494
528	1673	1489
529	1713	1519
530	1715	1515
531	1723	1515
532	1725	1511
533	1727	1507
534	1729	1503
535	1731	1498
536	1744	1504
537	1746	1499
538	1753	1499
539	1757	1497
540	1759	1493
541	1773	1498
542	1775	1494
543	1777	1489
544	1779	1485
545	1785	1484
546	1793	1485
547	1796	1481
548	1806	1484
549	1809	1480
550	1811	1476
551	1817	1474
552	1821	1472
553	1823	1468
554	1830	1467
555	1832	1463
556	1841	1464
557	1843	1460
558	1845	1455
559	1847	1451
560	1851	1449
561	1853	1444
562	1859	1443
563	1861	1439
564	1871	1440
565	1873	1436
566	1877	1433
567	1912	1454
568	1915	1450
569	1917	1446
570	1919	1442
571	1932	1446
572	1936	1442
573	1938	1438
574	1949	1440
575	1953	1438
576	1961	1437
577	2031	1482
578	2035	1479
579	2042	1479
580	2045	1474
581	2048	1471
582	2052	1467
583	2067	1472
584	2076	1473
585	2078	1468
586	2080	1463
587	2082	1459
588	2114	1475
589	2117	1471
590	2119	1466
591	2129	1467
592	2133	1464
593	2139	1462
594	2143	1458
595	2145	1454
596	2148	1450
597	2156	1449
598	2158	1445
599	2214	1476
600	2242	1488
601	2251	1488
602	2253	1483
603	2258	1480
604	2260	1475
605	2262	1470
606	2268	1468
607	2273	1465
608	2275	1460
609	2277	1456
610	2285	1454
611	2289	1451
612	2292	1447
613	2294	1442
614	2300	1440
615	2302	1435
616	2304	1430
617	2310	1428
618	2312	1423
619	2318	1420
620	2320	1416
621	2327	1414
622	2331	1410
623	2352	1417
624	2363	1417
625	2365	1413
626	2368	1409
627	2373	1405
628	2380	1403
629	2383	1399
630	2385	1394
631	2396	1395
632	2398	1390
633	2400	1385
634	2405	1382
635	2407	1377
636	2411	1374
637	2414	1369
638	2416	1365
639	2428	1366
640	2431	1361
641	2446	1364
642	2448	1359
643	2458	1359
644	2460	1354
645	2462	1349
646	2471	1348
647	2473	1343
648	2475	1338
649	2477	1334
650	2479	1329
651	2484	1326
652	2486	1321
653	2502	1324
654	2511	1322
655	2516	1319
656	2517	1314
657	2525	1312
658	2527	1307
659	2534	1305
660	2538	1301
661	2541	1297
662	2542	1292
663	2548	1289
664	2552	1285
665	2555	1281
666	2557	1276
667	2564	1274
668	2569	1271
669	2571	1266
670	2585	1267
671	2587	1263
672	2593	1260
673	2598	1256
674	2601	1252
675	2603	1247
676	2611	1246
677	2613	1241
678	2615	1236
679	2617	1231
680	2619	1227
681	2631	1227
682	2662	1235
683	2664	1231
684	2667	1226
685	2669	1221
686	2678	1220
687	2681	1216
688	2683	1211
689	2697	1211
690	2699	1207
691	2709	1206
692	2711	1201
693	2714	1197
694	2759	1211
695	2761	1206
696	2763	1201
697	2765	1196
698	2770	1193
699	2773	1188
700	2777	1184
701	2779	1179
702	2785	1177
703	2790	1173
704	2793	1168
705	2795	1163
706	2799	1160
707	2806	1157
708	2811	1153
709	2813	1149
710	2815	1144
711	2823	1142
712	2829	1138
713	2832	1134
714	2841	1132
715	2843	1127
716	2845	1123
717	2848	1118
718	2857	1116
719	2859	1112
720	2861	1107
721	2863	1102
722	2870	1099
723	2874	1095
724	2878	1091
725	2881	1087
726	2884	1083
727	2887	1079
728	2902	1079
729	2904	1074
730	2908	1070
731	2910	1065
732	2912	1060
733	2919	1058
734	2921	1053
735	2931	1051
736	2933	1046
737	2937	1042
738	2947	1041
739	2949	1036
740	2952	1031
741	2954	1027
742	2999	1037
743	3001	1032
744	3003	1028
745	3008	1024
746	3013	1020
747	3015	1015
748	3024	1013
749	3026	1008
750	3028	1004
751	3038	1002
752	3041	997
753	3043	993
754	3063	994
755	3069	990
756	3071	986
757	3073	981
758	3075	976
759	3077	971
760	3084	968
761	3089	964
762	3091	960
763	3092	955
764	3104	953
765	3108	949
766	3110	944
767	3117	941
768	3120	937
769	3122	932
770	3125	928
771	3135	926
772	3139	921
773	3141	917
774	3148	914
775	3153	910
776	3155	905
777	3157	900
778	3165	898
779	3169	893
780	3171	889
781	3173	884
782	3183	882
783	3185	877
784	3187	872
785	3189	868
786	3193	864
787	3195	859
788	3201	856
789	3216	854
790	3218	850
791	3220	845
792	3231	843
793	3233	839
794	3235	834
795	3248	832
796	3250	827
797	3253	823
798	3258	819
799	3260	815
800	3262	810
801	3264	805
802	3266	801
803	3268	796
804	3270	792
805	3272	787
806	3303	789
807	3305	785
808	3311	781
809	3315	777
810	3317	773
811	3319	768
812	3321	764
813	3326	760
814	3328	755
815	3330	751
816	3337	747
817	3341	743
818	3344	739
819	3346	734
820	3358	732
821	3360	727
822	3362	723
823	3374	720
824	3378	716
825	3380	712
826	3388	708
827	3390	704
828	3392	699
829	3394	695
830	3399	691
831	3406	687
832	3407	683
833	3409	678
834	3422	676
835	3424	671
836	3426	667
837	3430	663
838	3437	659
839	3439	655
840	3441	650
841	3448	647
842	3452	642
843	3454	638
844	3456	634
845	3472	632
846	3474	627
847	3484	624
848	3486	620
849	3488	615
850	3490	611
851	3496	607
852	3499	603
853	3501	598
854	3503	594
855	3504	589
856	3512	586
857	3515	581
858	3517	577
859	3519	572
860	3537	571
861	3549	568
862	3551	563
863	3553	559
864	3557	555
865	3559	550
866	3568	547
867	3570	542
868	3572	538
869	3579	534
870	3583	530
871	3585	526
872	3588	521
873	3590	517
874	3601	514
875	3603	510
876	3605	505
877	3610	501
878	3616	497
879	3618	493
880	3620	489
881	3622	484
882	3630	481
883	3633	476
884	3635	472
885	3636	467
886	3652	465
887	3661	461
888	3664	457
889	3666	453
890	3669	448
891	3674	444
892	3679	440
893	3681	436
894	3683	432
895	3685	427
896	3696	424
897	3698	420
898	3700	415
899	3709	412
900	3711	407
901	3713	403
902	3714	399
903	3716	394
904	3728	391
905	3730	387
906	3736	383
907	3742	379
908	3746	375
909	3748	370
910	3756	367
911	3758	362
912	3761	358
913	3763	354
914	3767	349
915	3769	345
916	3772	341
917	3776	337
918	3778	333
919	3785	329
920	3789	325
921	3793	320
922	3795	316
923	3798	312
924	3801	308
925	3803	303
926	3805	299
927	3807	295
928	3819	291
929	3821	287
930	3827	283
931	3829	279
932	3833	275
933	3837	271
934	3839	266
935	3847	263
936	3850	258
937	3851	254
938	3854	250
939	3859	246
940	3866	242
941	3868	238
942	3870	233
943	3878	230
944	3881	225
945	3883	221
946	3885	217
947	3890	213
948	3894	209
949	3896	205
950	3898	200
951	3900	196
952	3911	192
953	3913	188
954	3915	184
955	3921	180
956	3923	176
957	3927	172
958	3930	168
959	3931	163
960	3937	159
961	3941	155
962	3943	151
963	3945	147
964	3947	143
965	3952	139
966	3953	134
967	3958	130
968	3961	126
969	3963	122
970	3974	118
971	3977	114
972	3979	110
973	3986	106
974	3988	102
975	3990	98
976	3992	93
977	3994	89
978	4000	85
979	4005	81
980	4007	77
981	4010	73
982	4014	69
983	4019	65
984	4023	61
985	4025	57
986	4031	53
987	4036	49
988	4038	44
989	4039	40
990	4045	36
991	4047	32
992	4049	28
993	4051	24
994	4058	20
995	4062	16
996	4063	12
997	4065	8
998	4066	4
999	4068	0
